;Unnamed: 0;purpose;terms;interest_rate;risk_type_original;principal_amount;churn;company_id;disbursed_date;age;monthly_income;monthly_interest_rate;principal_amount_final;NPV;profit
0;11130;Payment of Utilities;1;0.0;F;3700.0;1;576;3;44.0;16600.0;0.0;3700.0;3723.0522666329616;23.05226663296162
1;4749;Home Repairs and Improvement;1;0.0;F;2000.0;1;119;1;27.0;10920.0;0.0;2000.0;2012.4606846664656;12.460684666465568
3;11132;Home Repairs and Improvement;1;0.0;F;4600.0;1;576;2;25.0;10000.0;0.0;4600.0;4628.659574732871;28.65957473287108
17;14415;Home Repairs and Improvement;1;0.0;F;3400.0;1;690;3;26.0;;0.0;3400.0;3421.1831639329916;21.183163932991647
35;1770;Purchase of Household Appliances & Furniture;1;0.0;F;3000.0;1;967;2;;19000.0;0.0;3000.0;3018.6910269996984;18.69102699969835
41;11852;Home Repairs and Improvement;1;0.0;F;6500.0;1;576;2;38.0;21000.0;0.0;6500.0;6540.497225166014;40.49722516601378
56;7826;Home Repairs and Improvement;3;0.3054;A;9000.00000003;1;967;1;39.0;11640.0;0.022457584171545086;9202.11825757458;9056.073081029283;56.073080999281956
72;9343;Education / Tuition Fee;3;0.4557;B;8500.00000005;1;905;1;27.0;;0.03178527001205378;8770.174795154047;8552.95790988279;52.95790983279039
102;15552;Calamity Fund;3;0.3054;A;5670.00000005;1;1082;3;27.0;11000.0;0.022457584171545086;6060.646602994195;5705.326041079742;35.326041029741646
118;11032;Business;3;0.6047;C;14000.00000005;1;550;3;31.0;13354.0;0.0401983352428148;15757.107533142314;14087.224792715571;87.22479266557093
120;13088;Motorbike Purchase;3;0.3054;C;7000.00000001;1;760;1;36.0;11336.0;0.022457584171545086;7157.20308921104;7043.612396342692;43.61239633269179
121;7011;Payment of Utilities;3;0.7031000000000001;E;5200.00000004;1;760;1;31.0;;0.04536995148060652;5435.923747740968;5232.39778017306;32.39778013306022
159;3593;Personal Vacation;3;0.4557;B;7000.00000005;1;655;1;26.0;32200.0;0.03178527001205378;7222.496890135966;7043.612396382941;43.61239633294099
166;5322;Life Events;3;0.7031000000000001;R;7800.00000007;1;690;2;29.0;17000.0;0.04536995148060652;8523.827016653308;7848.596670269652;48.59667019965218
183;7246;Life Events;3;0.6047;C;9500.00000006;1;403;1;35.0;;0.0401983352428148;9881.884184869152;9559.188252226086;59.188252166086386
193;4563;Medical Outpatient Expenses;3;0.7031000000000001;E;18800.00000001;1;907;3;36.0;150000.0;0.04536995148060652;21476.716606839902;18917.130435874842;117.13043586484127
203;5684;Home Repairs and Improvement;3;0.7031000000000001;R;7100.00000004;1;760;1;31.0;15983.0;0.04536995148060652;7422.126655554121;7144.235430606202;44.23543056620201
206;4943;Payment of Utilities;3;0.7031000000000001;F;7000.00000002;1;690;1;37.0;17162.0;0.04536995148060652;7317.5896603851525;7043.612396352754;43.61239633275454
212;3877;Medical Outpatient Expenses;3;0.1025;C;4178.5;1;407;2;33.0;14000.0;0.008164846051901042;4247.012176950864;4204.533485439413;26.033485439413198
223;1948;Home Repairs and Improvement;3;0.6047;C;6600.00000003;1;897;3;40.0;21000.0;0.0401983352428148;7428.350694202898;6641.120259429524;41.120259399524
234;3768;Payment of Utilities;3;0.6047;C;2700.00000003;1;788;3;41.0;17700.0;0.0401983352428148;3038.8707385575017;2716.821924329916;16.821924299915736
237;12489;Home Repairs and Improvement;3;0.4557;C;4801.00000004;1;576;2;24.0;23192.0;0.03178527001205378;5111.052629272461;4830.911873582099;29.911873542099784
283;4801;Home Repairs and Improvement;3;0.1025;C;6517.50000001;1;385;3;;21000.0;0.008164846051901042;6678.450161724414;6558.106256166907;40.606256156906966
291;15589;Others;3;0.7031000000000001;E;10000.00000006;1;576;3;30.0;;0.04536995148060652;11423.785429232626;10062.303423392701;62.30342333270164
305;3665;Personal Vacation;3;0.6047;C;7200.00000001;1;267;2;32.0;;0.0401983352428148;7790.490551832668;7244.858464809338;44.858464799338435
307;11745;Home Repairs and Improvement;3;0.4557;B;7000.00000005;1;576;1;37.0;29894.0;0.03178527001205378;7222.496890135966;7043.612396382941;43.61239633294099
308;12490;Payment of Utilities;3;0.4557;B;2957.99999999;1;1114;1;36.0;36466.0;0.03178527001205378;3052.020828685337;2976.4293526116403;18.42935262164019
315;7706;Calamity Fund;3;0.1025;A;20000.00000004;1;907;1;53.0;22000.0;0.008164846051901042;20163.29692107835;20124.606846704904;124.60684666490488
348;12149;Home Repairs and Improvement;3;1.33;R;5200.00000004;1;760;2;47.0;13000.0;0.07303278993199691;5987.2767150461295;5232.39778017306;32.39778013306022
